,date,title,head_titel,main_content,ID
195,Published On 6 Dec 2022,Morocco’s World Cup magic potion: Football parents and fans,Forget Wags. The secret of Morocco’s success at World Cup 2022 might come down to the players’ parents who have joined them.,".After Morocco shocked the footballing world by defeating pre-tournament favourites Belgium 2-0 in a Group F play, Paris Saint-Germain fullback Achraf Hakimi made a beeline for his mother in the stands. .Their embrace and subsequent cheek-pinch went viral across social media platforms. The 24-year-old footballer later posted an Instagram photo of him planting a kiss on his mother’s forehead with the caption, “I love you, Mom”. .But Hakimi’s mother is not the only Moroccan football parent who has travelled to Qatar to support her son at the 2022 World Cup. .On the instructions of coach Walid Regragui and Royal Moroccan Football Federation president Fouzi Lekjaa, family members chosen by all Moroccan squad members are entitled to an all-inclusive trip to Qatar. .As a result, Morocco’s base at the Wyndham Doha West Bay hotel occasionally feels like an adorable parent-run summer camp. For some, like Regragui’s mother, Fatima, the trip was a once-in-a-lifetime opportunity. .“During his whole career as a player and as a coach, I never travelled to watch him,” she told Moroccan sports channel Arriyadia. “I’ve been living in France for more than 50 years now and this is the first competition that I left Paris for.” .Midfielder Abdelhamid Sabiri’s parents have been the camera-toting kind. They spent a few days traipsing about the hotel, securing souvenir pictures with Chelsea midfielder Hakim Ziyech, Sevilla goalkeeper Yassine Bono, and, of course, coach Regragui. .Whenever television boom microphones have been shoved in their faces, the proud parents of Moroccan players have gushed about their children and how they consider all of the “boys” on the squad as their very own. .Apart from heart-warming social media posts, creating positive energy is part of Regragui’s strategy of obtaining intangible advantages that will translate on the pitch. He said as much immediately after taking the job, at the Mohamed VI Complex in Maamoura, when he declared: “Our success is not possible without our parents’ happiness.” . .Morocco are no favourites in this World Cup, but by reaching the round of 16 for the first time since 1986, they have already thrilled their fans and families. They have also emerged as a team many neutrals are rooting for — emotional scenes like Hakimi’s with his mother likely help. .But there is another element to the magic potion that is carrying Morocco’s hopes: the droves of Moroccan supporters who have made Qatari stadiums their second home. .At least 15,000 Moroccans live in Qatar and several thousand more, from all over the world, have made the trip to the first Arab-hosted World Cup, generating intimidating atmospheres for opposition teams in each of their group-stage matches. .Perhaps the most pertinent example of home support helping the Atlas Lions came in the final stages of the match against Belgium. After taking a 1-0 lead with 15 minutes to play, Morocco prepared to absorb pressure and launch counterattacks. Had the World Cup been in Europe or South America, where there would have been markedly less home support in attendance, those 15 minutes could have felt like an hour. .Instead, a cacophony of whistles and boos rained upon the Belgian players at Al Thumama Stadium whenever they took possession of the ball. Cathartic roars erupted from the stands whenever the ball was cleared. .“I swear to God if the supporters weren’t here, we wouldn’t have advanced to the next round!” Regragui exclaimed, after the final match of group play. .Combine the pressure that Moroccan supporters have doled out on the opposition in Qatar with the scientific evidence pointing to the higher testosterone levels that home teams enjoy, and the North African side has had plenty to thank their supporters for. .Sure, that does not take away from the quality of the players themselves, who have outperformed other Arab sides in the World Cup. But before their round-of-16 clash versus Spain, demand for tickets has been so high that the Moroccan football federation procured an extra 5,000 tickets for supporters. .Draped in their regal red flags and armed with darbuka goblet drums, Moroccan supporters will likely turn Education City into another home venue on Tuesday evening. .There is a quarter-final berth on the line, but there is also a deeper sociological context that undergirds Morocco’s clash with Spain. .After facing off against Belgium, Morocco will be playing against a second Western European country with a sizeable Moroccan diaspora. In all, 137 players at the 2022 World Cup represent a country different from the country they were born in. .That includes 14 of the 26 players in Regragui’s squad — making Morocco the most reliant on diaspora talent of the 32 nations competing in Qatar. .Yet while such a scenario could in theory complicate team chemistry, since players have different upbringings, this mishmash of birthplaces appears to have worked for Morocco. One reason, according to parents of the players: Those in the diaspora are possibly even bigger fans of the Moroccan national team than some at home. .At the Wyndham last week, many of the players’ parents boasted about their children’s passion for the national team and their decision to represent Morocco instead of seeking to play for the country of their birth. .Striker Zakaria Aboukhlal’s father, Tarek, said: “He’s [Zakaria] born in Holland, and he has everything he needs there, but our blood is Moroccan.” .Midfielder Bilal el-Khannouss’s father was even crisper in articulating why his Belgium-born son chose to play for Morocco. “His heart spoke to him,” the father said. .Immediately after securing qualification to the round of 16, Regragui, who was born in France, admitted that he had been thinking of the 1986 World Cup, when the team last made it out of the group stages. “At the time I was living in the French suburbs, and when Morocco beat Portugal, it was the happiest I’d ever been in my life,” he said. .Now his team is on the verge of climbing new heights: A place in the World Cup quarter-finals would be unprecedented. Spain will be the bookies’ choice, yet Morocco have shown the world what they are capable of during this tournament. .The mommy love is helping.",195
196,Published On 6 Dec 2022,Spain vs Morocco match preview: World Cup 2022 round of 16,The winners of Tuesday’s clash to face either Portugal or Switzerland in the quarter-finals.,".Who: Spain vs Morocco
Where: Education City Stadium
When: December 6, 6pm (15:00 GMT) .Spain head into Tuesday’s last-16 clash against Morocco as favourites but the Atlas Lions will sense that they can pull off an upset after an electrifying start to their World Cup campaign. .The Spaniards, who humbled Costa Rica 7-0 in their opening game, eventually finished second in Group E behind Japan following a shock 2-1 loss to the Samurai Blue – a result that also sent four-time champions Germany tumbling out of the tournament. .Morocco, meanwhile, defied the odds to top Group F ahead of Croatia and Belgium and are now making their second-ever appearance in the knockout phase. .They are the only Arab team left standing in the competition and will enjoy significant support at the Education City Stadium in Al Rayyan. .Coach Walid Regragui’s approach so far has focused on defending deep and capitalising on opportunities to punish opponents on the counterattack. .Central to his side’s strategy is Hakim Ziyech, who returned to the national team when Regragui took over from Vahid Halilhodžić in August. An earlier dispute between Ziyech and Halilhodžić had led to the mercurial winger being axed from the side. .His creativity provides Morocco with its most potent attacking threat but it is their resolute defensive play that has attracted plaudits. .The goal they conceded to Canada during their 2-1 victory in their final Group F encounter was the first in Regragui’s six-game reign. .Morocco’s goalkeeper, Yassine Bounou, said the team had already “made history” by reaching the last 16 but said it wanted to achieve “more” yet. .“Spain will force us to be at our best,” Bounou told reporters on Sunday. .“[But] we are thoroughly prepared. We have got better and better with each passing game, and I’m sure we’ll be in good shape,” he added. “We want to make our people happy.” .Spain, for their part, will need to produce a much-improved performance from the defeat to Japan in their last outing. .La Roja put on a masterclass in passing during the first 45 minutes of that game but made defensive blunders in the second half which saw coach Luis Enrique’s men concede twice in six minutes. They only avoided exiting the tournament altogether on account of a superior goal difference to Germany. .Midfielder turned-centre back Rodri said his side will not change their tiki-taka approach just because of the loss but had focused on learning from their errors. .“We have learnt from our mistakes, and we will try to avoid them, but we are not going to change our football style for those mistakes … it is not good to change our football philosophy. We will stick with that,” Rodri told reporters on Sunday. .He also promised not to take Morocco, ranked 15 places below the 2010 champions, lightly. .“[They are] one of the top teams in Africa. So, I think they are a very, very strong team,” Rodri said. “You can see the names they have there, the players they have with quality, with power. I think it’s going to be very, very tough.” .Tuesday’s fixture will mark the second time Spain and Morocco have played against one another at a World Cup. .Their previous meeting came in 2018, when the sides drew 2-2 during a group stage encounter. .The winner of this week’s clash will face either Portugal or Switzerland on December 10.",196
197,Published On 6 Dec 2022,Portugal vs Switzerland match preview: World Cup 2022 round of 16,Ronaldo will spearhead Portugal’s attack as they look to overcome a well-organised Switzerland side.,".Who: Portugal vs Switzerland .Where: Lusail Stadium .When: December 6, 10pm (19:00 GMT) .Portugal and Switzerland have already faced each other twice this year in the Nations League, winning one game apiece. .A Cristiano Ronaldo brace helped Portugal, ranked nine in the world, outclass Switzerland 4-0 in early June. But just a week later, the Swiss scored in the first minute and survived a barrage of Portugal attacks in an organised and resolute defensive display that helped them win 1-0. .Those contests are a reminder that while Portugal head into this last 16 World Cup game as favourites, Switzerland have the ability to threaten and upset them. .Portugal topped their group, scoring six goals across three matches. Switzerland finished second in their group after winning their final game 3-2 against Serbia in dramatic fashion. It was a match where all rules went out the window as Switzerland lost their typically reliable defensive shape, searching for a winner. .But as exciting as that game was, Switzerland will know that against a free-scoring Portugal, they must return to the familiar organised display that frustrated Brazil and Cameroon in the first two group-stage matches. .Ronaldo is 37 years old but is still a major goal-scoring threat, as is Manchester United’s Bruno Fernandes, who scored twice against Uruguay. Joao Felix has also produced some fine performances showing why Atletico Madrid forked out $132m for the winger in 2019. .Switzerland do not boast such big-name forwards. Still, former Liverpool winger Xherdan Shaqiri has looked lively this tournament, and forward Breel Embolo, who has scored twice, will look to pressure the veteran defender Pepe with his pace and strength. .Pepe has been forced to deputise for Paris Saint-Germain’s Danilo Pereira after the centre-back broke several ribs during a training session. .The two sides have met on five occasions in all, with Portugal winning three and Switzerland two. .Switzerland have a penchant for causing an upset at major tournaments, knocking out France at the 2020 Euros in a thrilling comeback that left a shell-shocked French team fighting among themselves. .The winner of this match will face the victor of the Morocco-Spain game earlier on Tuesday.",197
198,Published On 6 Dec 2022,Brazil dedicates World Cup win to ailing football legend Pele,‘This victory is for him’: Vinicius Jr said of win over South Korea dedicated to Pele who is hospitalised in Sao Paulo.,".Brazil’s World Cup team has paid tribute to their country’s footballing legend Pele by dedicating their 4-1 victory over South Korea to the ailing 82-year-old who is receiving treatment for respiratory infection at a Sao Paulo hospital and is also undergoing treatment for colon cancer. .The Brazilian players unfurled a large banner featuring Pele’s name and a picture of him in his footballing prime following Monday’s match against South Korea at Stadium 974 in Doha, Qatar. Brazil won the match 4-1 and qualified for the tournament’s quarter-finals. .Brazil’s supporters in the stands also unfurled an enormous banner with a get well soon message for Pele, who is widely regarded as one of the greatest football players of all time and was part of Brazilian teams that won three of their five World Cup titles. .“It’s hard to talk about what Pele is going through right now but I wish him all the best,” Brazil’s star player Neymar said after the match. .“I hope he will be back in good health as soon as possible and that we could have at least comforted him with the victory,” Neymar told Brazilian media outlet Globo. .  .Striker Neymar also revealed that he had feared the World Cup might be over for him after hobbling off in his first match in Qatar against Serbia with a heavily swollen ankle. .The world’s most expensive player had to sit out his team’s last two matches as he received treatment. .“The night I got injured was very hard for me because I had a thousand things in my head — doubts, fears — but I had the support of my teammates and my family,” he told reporters, saying he had cried that evening. .“I had to find strength where there wasn’t any.” .Brazil’s Vinicius Jr opened the scoring against South Korea after just seven minutes on Monday and Neymar added another goal from the penalty spot to move to 76 goals for his country, leaving him just one away from equalling Pele’s all-time record tally. .Vinicius Jr dedicated the victory over South Korea to Pele. .“He needs a lot of strength from us and this victory is for him, so that he can come out of this situation and that we can be champions for him,” he said. .Richarlison gave Brazil their third goal in the 26th minute, and 10 minutes later, Lucas Paqueta put away their fourth goal. .It was a chastening experience for the intrepid South Koreans, though Paik Seung-ho did put one goal away for his side to end the match 4-1. .Coach Paulo Bento confirmed after the match that he will not renew his contract with South Korea and the defeat by Brazil would be his last with the Taegeuk Warriors. .“I just announced to the players and president of the Confederation this decision I made in September. This was a decision set in stone, and today I confirmed it,” he said. .“I have to thank them for everything, they gave their best. I have been proud to be their manager,” said Bento, who had been in the position since 2018. .“From now, we just have to think of the future, and it will not be with the national team for South Korea,” he said. .Brazil are now due to face Croatia in the World Cup quarter-finals on Friday. .The Croatians beat Japan on penalties earlier on Monday after their last-16 tie finished 1-1.",198
199,Published On 6 Dec 2022,Photos: Stunning play by Brazil steamrolls South Korea 4-1,The South American juggernaut barrelled over South Korea and on to their eighth straight World Cup quarter-final match.,".Brazilian superstar Neymar returned from injury to help his side crush the World Cup hopes of a plucky South Korea in a 4-1 game dominated by the South Americans. .The carnage started early with Brazil’s Vinicius Jr opening up the scoring at Doha’s Stadium 974 in the seventh minute when he converted a cross from Neymar. .Three further goals delivered by Neymar, Richarlison and Lucas Paqueta before the end of the first half all went unanswered. .The South Koreans, who came back to life in the second half as they fought to prevent Brazil from walking away with the match, managed to keep the indomitable Brazilians from finding the back of their net for the remainder of the game. .That spirited second-half effort bought them a solitary goal from Paik Seung-ho in the 77th minute, which barely dented the South American juggernaut as they barrelled towards victory and their eighth straight World Cup quarter-finals. .Brazil will now face Croatia at the Education City Stadium in Al Rayyan, Qatar, on Friday, December 9, 2022.",199
200,Published On 5 Dec 2022,Recap: Brazil vs South Korea – World Cup 2022,Brazil score four first-half goals to cruise past South Korea and into the World Cup 2022 quarter-finals.,".Neymar has returned from injury to help Brazil thump South Korea 4-1, setting up a World Cup quarter-final clash against Croatia. .Four unanswered Brazilian goals in the first half at Stadium 974 on Monday set an imperious tone for a team with their sights firmly on a sixth World Cup title. .And while the game settled in the second period, it was never sluggish or scrappy, and a spirited South Korea fought hard to score a consolation goal in the 76th minute. .It took just seven minutes for Brazil to get off the mark, with Raphinha picking up the ball just outside the box and rushing in on the right side, sending in a pass to Neymar. The Paris Saint-Germain number 10 was brought down by his marker and the ball ended up at the feet of Vinicius Jr, in acres of space. .The Real Madrid star steadied himself before placing it to the right of Kim Seung-gyu in the South Korean goal. .Just three minutes later, Richarlison was brought down by Jung Woo-young inside the box, and the referee pointed to the spot. Neymar, who had reportedly flown his barber out to Qatar to dye his hair blonde following previous victories over South Korea with bleached hair, wasted no time in slotting it into the bottom-right of the net. Brazil was up two-nil with less than 15 minutes on the clock. .South Korea had their share of chances, with Hwang Hee-chan, fresh off scoring the winner against Portugal, having a go from a distance but sending the ball comfortably over the bar. Moments later, Allison was forced to make a diving save to his left, his first save of the tournament. .But Paolo Bento’s men were simply outclassed in every part of the pitch. .A remarkable piece of skill in the 26th minute saw Richarlison juggling the ball, heading it to himself three times while evading defenders on the edge of the South Korean box. He then passed the ball before running through on goal to receive the return, firing the ball in for Brazil’s third. .Just 10 minutes later, Vinicius Jr set up Lucas Paqueta with a cheeky chip, and the midfielder shot low and right. Kim Seung-gyu could do little but look at the ball nestling in the back of the net. .With four goals before half-time, Brazil was putting down a marker for any teams who think they might have a chance of lifting the trophy on December 18. .Son Heung-min nearly clawed one back for South Korea straight after the restart, but Alisson — who must, through this game alone, be in contention for the Golden Glove — got enough of his arm onto the shot to tip it wide. .Faced with the intensity of Brazil’s onslaught, South Korea tried to slow the game, but more chances for Raphinha and Vinicius Jr followed despite the best efforts of the men in red. .Then came the 77th minute, and out of nowhere, Paik Seung-ho scored from outside the box. A free kick for South Korea was bundled clear by the Brazilian defence, falling to Paik, who belted it past Alisson’s dive to find the top-right corner. Finally, the South Korean fans had something to cheer about. .South Korea continued to work hard in defence and create chances in attack, but that goal was to be their only score, and they head home having been soundly beaten by one of the best teams in the world. .Brazil will face Croatia in the quarter-finals at Education City on Friday.",200
201,Published On 5 Dec 2022,Croatia beat Japan on penalties to reach quarter-finals,"With scores deadlocked at 1-1, Croatia won with goalkeeper Dominic Livakovic saving three penalties in the shootout.",".Croatia beat Japan on penalties in a closely fought World Cup last-16 tie to claim a place in the quarter-finals. .Mario Pasalic scored the winning spot kick to see Croatia through 3-1 on penalties on Monday in the tournament’s last game at the Al Janoub Stadium in Wakrah, south of Qatar’s capital. .Croatia forward Ivan Perisic, who was denied by Japan’s goalkeeper Shuichi Gonda in the opening minutes, pulled them level 10 minutes into the second half after meeting Dejan Lovren’s cross with a powerful header. .Daichi Kamada had shot off target after a flowing Japan counterattack minutes before Daizen Maeda deservedly put them ahead in the 43rd minute, firing home from close range after Ritsu Doan delivered an in-swinging cross into the penalty area. .With the scores deadlocked at 1-1 after an absorbing 90 minutes, Japan’s Kaoru Mitoma went closest in the scrappy half-hour of extra time, forcing Croatian goalkeeper Dominic Livakovic to parry away his powerful drive. .Livakovic saved penalties from Takumi Minamino, Kaoru Mitoma and Maya Yoshida before Pasalic netted the winning spot-kick. .Croatia will face either Brazil or South Korea in the quarter-finals.",201
202,Published On 5 Dec 2022,Recap: Japan vs Croatia – World Cup 2022,Croatia beat Japan 3-1 on penalties to book their place in the quarter-finals of the World Cup.,".Croatia have beaten Japan on penalties in a closely fought World Cup last 16 tie, to claim a place in the quarter-finals. .Mario Pasalic scored the winning spot kick to see Croatia through 3-1 on penalties on Monday in the tournament’s last game at the Al Janoub Stadium in Wakrah, south of Qatar’s capital. .A goalless extra time followed 90 minutes that had finished 1-1 with goals from Japan’s Daizen Maeda and Croatia’s Ivan Perisic. .Perisic and Croatia captain Luka Modric, experienced penalty takers, had both been taken off the pitch before the final whistle. .Japan’s first two penalties, from Takumi Minamino and Kaoru Mitoma, were saved by Croatian keeper Dominik Livakovic, who will surely now be a national hero back home. Both Croatia’s first two efforts were slotted into the net. .Takuma Asano scored with Japan’s third shot. Croatia’s Marko Livaja stepped up with a casual effort but hit it into the post. Japanese captain Maya Yoshida’s poorly struck penalty was also saved. Pasalic took the final, successful kick, to dash Japan’s dreams. .For much of the first half, Japan were happy to sit back, allowing Croatia to take the majority of possession, instead focusing on lightning-quick counterattacks. This, don’t forget, was a team who had beaten both Germany and Spain in the group stage. .Croatia had a great spell of play just before the half-hour mark, with Modric looping in pinpoint crosses, which his teammates failed to convert into anything more than sustained pressure in Japan’s box. .Japan’s effort and endeavours paid off in the 42nd minute, with Celtic’s Daizen Maeda getting onto the end of a scrappy corner for a well-deserved goal in front of the 42,523-strong crowd. .Modric commanded the midfield as ever, the Croatian captain leading an experienced and solid line, but Croatia lacked attacking options to take the game to Japan’s back four – and for a lot of the time, lacked the desire to score. .A gorgeous Croatian cross in the 54th minute was met with a golden header; a play out of nothing, out of nowhere – an experimental, probing, delivery simply fell comfortably for Ivan Perisic, whose headed shot bent inside the post for the equaliser. .The move sparked life into the game. Japan’s Wataru Endo attempted a reply just two minutes later, a curling effort which had to be tipped over the bar by keeper Livakovic. .With 15 minutes of normal time remaining, the ball fell again to Perisic, who let fly a corker of a shot, though a deflection from Takehiro Tomiyasu sent it high and wide. .Extra time had a sluggish start, but Japan looked certain to score on the stroke of halfway, though Kaoru Mitoma’s mazy run ended with a bolting strike straight into Livakovic’s gloves. .The second period of extra time saw Japan raise their energy levels, but a breakthrough could still not be found. Croatia finally had a real chance in the 30th minute of extra time, but Lovro Majer snatched at it, sending it wide. And it was down to penalties. .Croatia may not have had the best of this game, but they are the ones going through to the quarter-finals to face the winner of tonight’s clash between five-time winners Brazil and South Korea at Education City on Friday.",202
203,Published On 5 Dec 2022,Why is there so much stoppage time at World Cup 2022?,A total of 563 minutes – more than nine hours – added to the clock at the World Cup.,".Football history is being rewritten at Qatar’s 2022 World Cup. .Cristiano Ronaldo’s goal against Ghana made him the first male player to score in five World Cups. Lionel Messi has played his 1,000th match and scored his first knockout-stage goal. Oliver Giroud scored his 52nd goal for France, a record for the team. .But when England pulverised Iran 6-2, the match set a more obscure FIFA record: It was the longest World Cup group stage match. .By the time the final whistle blew, both sides had played 117 minutes. The marathon match had stretched an extra 27 minutes across both halves due to a series of stoppages that were added as part of FIFA’s relatively new time-policing efforts. .During the group stages, referees added a total of 563 minutes of play – more than nine hours. Only one of the tournament’s eight opening games finished under 100 minutes. .In the 1-1 draw between Wales and the USA, 14 minutes and 34 seconds were added to the clock while 12 minutes and 49 seconds were tacked onto the Netherlands vs Senegal game. The opening match between Qatar and Ecuador saw 10 minutes and 18 seconds of stoppage time. .So why has there been so much stoppage time at the 2022 World Cup? .Football matches are supposed to be 90 minutes of normal time unless it’s a knockout match. FIFA’s fourth officials routinely add time at the end of each half. .At the 2018 World Cup, FIFA began heavily policing stoppage times to account for time spent on injuries, celebrations, video assistant referee (VAR) reviews and substitutions. .Before this year’s World Cup, Pierluigi Collina, chairman of FIFA’s referees committee and a former referee himself, warned fans to brace themselves for a number of games eclipsing 100 minutes. .“This is nothing new,” Collina told reporters in November. “In Russia, it became quite normal for the fourth official to show the board with seven, eight, nine minutes on it.” .The goal for FIFA, he said, is to maximise effective playing time. .“Whenever there will be an incident like treatment, substitution, penalty, red card or celebration of a goal – I want to underline that because it is a moment of joy for one team, for the other maybe not – but it may last one or one and a half minutes,”  he said. .FIFA has long complained about lengthy goal celebrations and unnecessary showboating, which can sometimes span a minute or more. .“So imagine in a half there are two or three goals scored, and it’s easy to lose five or six minutes, and this team must be compensated at the end,” Collina said. .Other football experts have argued that stoppage time should be welcomed by fans looking to get the most bang for their buck after shelling out plenty of money to watch a match at a stadium. .“I think it’s good for the game because fans are just as important as anybody else,” retired FIFA and English Premier League referee Mark Halsey told Al Jazeera. “It costs a lot of money to watch football. We want to see the ball in play longer. That’s what we want. We’re getting 90-plus minutes now.” .VAR has drawn global criticism since its debut at the Russia World Cup. It tracks every limb of players on the pitch and uses semiautomated technology through the use of cameras, sensors and video replay to make offside calls and overturn goals. .In Qatar, specifically, many fans have complained that the technology has cramped the flow of the game, sometimes adding several minutes to a match’s stoppage time. .The stoppages have sewn discord across the football world with some players expressing displeasure about the added time due to the heightened possibility of injury. .During time added on in this World Cup, Iran’s goalkeeper Alireza Beiranvand sustained a severe concussion against England. Saudi Arabia defender Yasser Alshahrani was also hurt when he was kneed by his own goalkeeper Mohammed Alowais vs Argentina. .The international players union Fifpro said it’s monitoring the situation. .“If effective playing time is increased by 10 to 15 per cent, this adds substantially to the time under physical competition for players,” Fifpro General Secretary Jonas Baer-Hoffmann said. “More than anything, it underlines how critical workload protection is for players. It needs to be established now.” .Some players, though, appear to be taking a shine to the longer matches. .“Enjoying the amount of time that is being added on by the officials at the Qatar World Cup 2022,” Former England and Liverpool midfielder Jamie Carragher said on Twitter. “There is too much time wasting in football!” . .Domestic football leagues aren’t entirely sold on the new FIFA rules. The Premier League said it won’t implement the strict new time stoppage regulations after the World Cup. .Some fans have even blamed entire match outcomes on the stoppage times. .When Iran scored two goals in stoppage time, cruising to a 2-0 win over Wales, some were quick to pin the Welsh defeat on the new time-maximising initiative. .“Interesting observation,” football YouTuber Mark Goldbridge tweeted on November 25. “Wales lost because of this FIFA directive to add unprecedented amount of stoppage time to games.” .South American football correspondent Tom Vickery likened the stoppages to “adding extra rounds at the end of a boxing match”. .“Not in favor of these giant stoppage times,” Vickery wrote on Twitter. “Grinding the players into the ground. 4 would have been fine. 9? Not for me.” .While stoppage time has decided some matches, it’s also allowed teams to forge history by other means. .Cameroon’s second-half winning goal against Brazil came in stoppage time. While the goal wasn’t enough to score Cameroon a spot in the last 16, Vincent Aboubakar’s conversion, afforded by the added time, made Cameroon the first African nation to beat five-time World Cup champions Brazil. .Over the years, a number of alternatives to stoppage time, designed to crack down on football’s time-wasting, have also been proposed. In 2017, FIFA’s then-technical director, Marco van Basten, proposed a 60-minute, stop-start game clock, not unlike basketball. The idea, however, never was implemented. .Others have suggested that bringing in an independent timekeeper, similar to rugby, could be another alternative to lengthy stoppage time. .“If you’re stopping the clock, it will be the timekeeper stopping that clock every time that ball goes out or every time that ball goes – every time there’s a substitution, every time there’s a goal-scoring celebration – then that timekeeper starts the clock then restarts it when the ball’s back in play,” Halsey told Al Jazeera English. .Halsey cast goalkeepers as the worst repeat offenders when it comes to time theft. .“I was a goalkeeper, so you do see goalkeepers taking their time,” he said. “What they tend to do now, they tend to catch that ball, the ball comes into them and then they fall to the ground with no one around them, lie on the ground, have a little look around, … then they get up and they start to perhaps get the ball back into play. I think you’re looking in excess of more than 10 to 15 seconds when the goalkeeper has a hold of a ball.” .Halsey suggested a time limit of 10 seconds and, if keepers exceed that limit, punishing them with an indirect free kick and a yellow card. .“I think referees do need to be stronger in managing those situations,” he said.",203
204,Published On 5 Dec 2022,‘World Cup Wallace’: Meet Brazilian football’s unofficial drummer,Sixty-year-old Wallace Leite from Sao Paulo has been to every Brazil game with his drum for the past 10 World Cup tournaments.,".Doha, Qatar – Since 1986, nothing has deterred Brazil’s unofficial World Cup drummer Wallace Leite from attending the most prestigious footballing event on the planet. .Age, injuries, family commitments, nothing has kept the Brazilian and his drum from the World Cup. .The 60-year-old from Sao Paulo has been at the last 10 world cups, tirelessly carrying and playing his Surdao (Brazilian drum) at every match featuring the Canarinha – “little canaries” as the Brazilian team is affectionally known owing to their bright yellow team jersey. .“It’s a natural high,” Leite said of drumming and the World Cup. “It’s like I have found the fountain of happiness,” he told Al Jazeera, decked out in the same outfit, featuring shades of Brazil’s national flag that he has worn to all his team’s games at the tournament in Qatar. .He prays the outfit will bring his side luck. .For Leite, it is all about the “positive response” he gets from the hordes of fans that gather around him when he plays the Surdao, in what he calls his “perfect place”. .“There are no issues, no politics, everybody just there supporting Brazil,” he said. .His instrument of choice is the Surdao, a 7kg (15lb) Brazilian drum he played at every World Cup game since the 1990 tournament in Italy. Previous to that, Leite said he had used a smaller type of percussion drum though the pitch was “too high” for his liking. .The Surdao helps keep “the rhythm together”. .“I feel I can move and hype so many more people with [the Surdao],” he adds. .Cutting a slender figure at 79kg (174lb) and 177cm (five feet, nine inches) in height, he admits that banging a large drum at month-long World Cup tournaments takes a physical toll. .“I have had several injuries including hurting my arms, shoulders, and of course neck. I’ll get a massage after the tournament or some therapy,” said Leite, whose day job in the United States, where he lives, is a computer hardware expert. “Many people say, well isn’t it all so hard? And I say yes, it is hard, but the satisfaction is greater. .“It’s just wow,” he adds as a look of wonder crosses his face when he recalls his time playing to crowds in dozens of stadiums over the past decades. .Leite, also known as Wallace Das Copa (World Cup Wallace) by his fans, said people regularly approach him for pictures, interviews and even autographs at the tournaments. .“It’s not like I am some celebrity, but it does make me feel very special.” .Residents in the countries hosting the World Cup have often invited him to their homes for meals or taken him to tourist spots, such as the Kruger Park for a Safari tour in South Africa, a visit to the Kremlin in Moscow, and camel ridding in Qatar. . .“I have made so many friends around the world, learned so much about different cultures and customs, not everyone has a chance to do that. It’s a blessing,” the 60-year-old said proudly. .When asked what had been his favourite host country, he answers diplomatically: “All of them”. .“Every country has so much to offer in terms of kind people, beautiful places to visit. it’s hard to choose,” he said. .His fondest World Cup memories are, he said, “probably Mexico”. .According to Leite, the Mexican “people fell in love” with the Brazilian football team back in 1970 when the World Cup took place there. The team included football legends like Pele, and the Mexican crowds were mesmerised by the team’s uniquely creative style of play. Brazil would go on to win the trophy in Mexico, defeating Italy 4-1 in the final, with Pele scoring four goals in the tournament. .When he arrived in Mexico for his first World Cup in 1986, he said Mexicans “embraced” him like he was one of their own. .“I felt at home in Mexico. Oh my gosh, people were so nice. I didn’t spend any money. People would pay for everything,” he recounted. .“I would go to restaurants where they play mariachi music and they would say ‘let’s stop mariachi, we want to hear Brazilian samba’. In the streets people would be dancing and singing at all times of the day. The interactions I had with people, it was a great feeling.” . .Leite said he “certainly hopes” this will be the year the most coveted trophy in football returns to South America. .Exasperated, he says: “It’s been 20 years since we won.” Brazil last lifted the World Cup – their fifth – in 2002 in Japan. .For the first few tournaments, Leite said his wife Carmen, who works in the fashion industry and also from Sao Paulo, would accompany to all the games. “She would sing with me, dance in the streets,” he noted. .However, as time passed by, the drummer said Carmen would stop coming as frequently. .“It was just not her thing … like it is for me. For her, it became routine.” Leite, who said he prepares for weeks before the tournament even starts, organising his costumes and making new music, Carmen does urge him to spend more time with her and his two adult daughters. .“When the time comes (for the World Cup) she thinks I focus on it too much … that I’m too crazy about it,” he said. “But overall, she supports me.” .When asked how long he sees himself playing his drum at World Cup tournaments, he said he had no “time frame”. .“Only God knows,” he adds. “As long I can move, have good health, shout, and play my instrument, I will keep doing it.”",204
205,Published On 5 Dec 2022,World Cup 2022 schedule: From knockout games until final in Qatar,We take a look at the semifinal and final games of Qatar’s World Cup.,".The World Cup in Qatar – the first to be held in the Middle East – started on November 20 and the final is scheduled to take place on December 18. .Here is a look at the full schedule for the knockout rounds: .Saturday, December 3 .Sunday, December 4 .Monday, December 5 .Tuesday, December 6 .The World Cup in Qatar set a record with teams from all continents present in the round of 16 for the first time ever, FIFA said. .The tournament also saw a record for the Asian Football Confederation, with three teams (Australia, Japan and South Korea) reaching the knockout stages. .Friday, December 9 .Saturday, December 10  .Morocco also made history by becoming the first team from Africa to reach a World Cup semi-final when they beat Portugal. .“Africa is back on the map of football today,” Morocco’s coach Walid Regragui said. “We had the mentality. We knew we could make history for Africa.” .Tuesday, December 13 .Wednesday, December 14 .Saturday, December 17 .Sunday, December 18  .Al Jazeera’s AI robot Kashef believes that the final will be played between France and Argentina, with Argentina winning the tournament.",205
